id, desc, status, completedAt, completionDoc
2026-07-25-new-17dd6c3e-spec,Build production Skillplane skill management with versioned context-aware MCP retrieval and amendment,0,,
2026-08-03-dhu1z1rz-issue,"DataFn is mounted and secure but bypassed by Skillplane first-party application data flows",0,,
2026-08-03-231305c7-issue,"MCP cannot discover workspaces or enumerate every accessible skill",1,2026-08-03T12:37:56Z,2026-08-03-8f6c2a1d-completion
2026-08-03-7e4b9a2c-issue,"MCP agents cannot manage the complete skill-context lifecycle",1,2026-08-03T13:25:25Z,2026-08-03-4c9d1e7b-completion
2026-08-03-c83f1d6a-issue,"Codex OAuth refresh fails and MCP agents cannot manage the complete skill lifecycle",1,2026-08-03T15:55:29Z,2026-08-03-7f3c9a2e-completion
2026-08-04-32192064-issue,"Linear MCP connector authorization fails while hydrating client metadata in Workerd",1,2026-08-04T02:00:25Z,2026-08-04-32192064-completion
2026-08-04-yh02xrqp-issue,"Linear Agent fails when Skillplane MCP connector is active",1,2026-08-04T12:19:39Z,2026-08-04-yh02xrqp-completion
SKI-1,"Move service-principal credential authentication to AuthFn API keys",1,2026-08-05T12:04:29Z,2026-08-05-05fc074e-completion
2026-08-27-new-f3c333cf-spec,"Make Skillplane locally authoritative and safely project exact skills into agent-native directories",0,,
SKI-6,"Adopt McpFn for Skillplane MCP runtime, authorization, and quality gates",0,,
2026-08-30-codex-loopback-oauth-issue,"Codex client metadata rejects safe localhost and dynamic loopback callbacks",1,2026-08-30T04:27:43Z,2026-08-30-33cfc7a1-completion
SKI-14,"Adapt Skillplane tool contracts for authenticated client compatibility",0,,
SKI-14-posthog-context-regression,"PostHog context injection breaks stateless MCP tool calls",1,2026-08-30T13:22:51Z,2026-08-30-7785fc18-completion
2026-08-31-native-private-use-oauth-redirects,"Cursor-family dynamic registration rejects a private-use callback bundle",1,2026-08-31T07:29:59Z,2026-08-31-native-private-use-oauth-redirects-completion
